prompt_type,prompt_text,steps,lpips,gen_time_sec,image_path
Simple,"a clean studio photograph of a white cat sitting on a seamless white background, minimal props, soft diffused lighting, shallow depth of field, highly aesthetic",60,0.0,7.944555997848511,../assets/quality_study/Simple_step60.png
Simple,"a clean studio photograph of a white cat sitting on a seamless white background, minimal props, soft diffused lighting, shallow depth of field, highly aesthetic",50,0.1048160046339035,6.6885480880737305,../assets/quality_study/Simple_step50.png
Simple,"a clean studio photograph of a white cat sitting on a seamless white background, minimal props, soft diffused lighting, shallow depth of field, highly aesthetic",40,0.1084098294377327,5.403677701950073,../assets/quality_study/Simple_step40.png
Simple,"a clean studio photograph of a white cat sitting on a seamless white background, minimal props, soft diffused lighting, shallow depth of field, highly aesthetic",30,0.11816677451133728,4.118662357330322,../assets/quality_study/Simple_step30.png
Simple,"a clean studio photograph of a white cat sitting on a seamless white background, minimal props, soft diffused lighting, shallow depth of field, highly aesthetic",20,0.24960535764694214,2.832559108734131,../assets/quality_study/Simple_step20.png
Simple,"a clean studio photograph of a white cat sitting on a seamless white background, minimal props, soft diffused lighting, shallow depth of field, highly aesthetic",10,0.36884748935699463,1.5397679805755615,../assets/quality_study/Simple_step10.png
Simple,"a clean studio photograph of a white cat sitting on a seamless white background, minimal props, soft diffused lighting, shallow depth of field, highly aesthetic",5,0.54953932762146,0.8936424255371094,../assets/quality_study/Simple_step5.png
Complex,"an ultra detailed cyberpunk city street at night, dense neon signs, heavy rain, wet reflective pavement, crowds of people, flying cars, volumetric fog, cinematic 8k concept art, masterpiece",60,0.0,8.041173934936523,../assets/quality_study/Complex_step60.png
Complex,"an ultra detailed cyberpunk city street at night, dense neon signs, heavy rain, wet reflective pavement, crowds of people, flying cars, volumetric fog, cinematic 8k concept art, masterpiece",50,0.06813095510005951,6.7511701583862305,../assets/quality_study/Complex_step50.png
Complex,"an ultra detailed cyberpunk city street at night, dense neon signs, heavy rain, wet reflective pavement, crowds of people, flying cars, volumetric fog, cinematic 8k concept art, masterpiece",40,0.060487497597932816,5.455592393875122,../assets/quality_study/Complex_step40.png
Complex,"an ultra detailed cyberpunk city street at night, dense neon signs, heavy rain, wet reflective pavement, crowds of people, flying cars, volumetric fog, cinematic 8k concept art, masterpiece",30,0.05552709102630615,4.157399892807007,../assets/quality_study/Complex_step30.png
Complex,"an ultra detailed cyberpunk city street at night, dense neon signs, heavy rain, wet reflective pavement, crowds of people, flying cars, volumetric fog, cinematic 8k concept art, masterpiece",20,0.10984695702791214,2.855921506881714,../assets/quality_study/Complex_step20.png
Complex,"an ultra detailed cyberpunk city street at night, dense neon signs, heavy rain, wet reflective pavement, crowds of people, flying cars, volumetric fog, cinematic 8k concept art, masterpiece",10,0.2712218165397644,1.5513293743133545,../assets/quality_study/Complex_step10.png
Complex,"an ultra detailed cyberpunk city street at night, dense neon signs, heavy rain, wet reflective pavement, crowds of people, flying cars, volumetric fog, cinematic 8k concept art, masterpiece",5,0.5138673186302185,0.8969781398773193,../assets/quality_study/Complex_step5.png
