operation,iteration,time
load_A,0,3.451892375946045
load_A,1,1.177375316619873
load_A,2,1.2018017768859863
load_A,3,1.022383451461792
load_A,4,1.1611874103546143
load_A,5,1.149425745010376
load_A,6,1.1607401371002197
load_A,7,1.1969447135925293
load_A,8,1.2617430686950684
load_A,9,1.1536228656768799
load_A,10,1.1663737297058105
load_A,11,1.2697224617004395
load_A,12,1.1643519401550293
load_A,13,1.1560132503509521
load_A,14,1.0120935440063477
load_A,15,1.1715679168701172
load_A,16,1.2868797779083252
load_A,17,1.1381542682647705
load_A,18,1.1280739307403564
load_A,19,1.1490914821624756
load_A,20,1.1603114604949951
load_A,21,1.166980504989624
load_A,22,1.008392572402954
load_A,23,1.150707721710205
load_A,24,1.1597318649291992
load_A,25,1.1249592304229736
load_A,26,1.1268436908721924
load_A,27,1.1279163360595703
load_A,28,1.2655389308929443
load_A,29,1.1405792236328125
load_A,30,1.1569797992706299
load_A,31,1.166224718093872
load_A,32,1.1327013969421387
load_A,33,1.1488490104675293
load_A,34,1.2796952724456787
load_A,35,1.132723331451416
load_A,36,1.1373577117919922
load_A,37,1.149031639099121
load_A,38,1.1446316242218018
load_A,39,1.1583325862884521
load_A,40,1.1624245643615723
load_A,41,1.015984058380127
load_A,42,1.1600520610809326
load_A,43,1.1421384811401367
load_A,44,1.1522035598754883
load_A,45,1.1553514003753662
load_A,46,1.1424024105072021
load_A,47,1.1498141288757324
load_A,48,1.0019874572753906
load_A,49,1.131584644317627
unload,0,0.09201288223266602
unload,1,0.09197664260864258
unload,2,0.09128689765930176
unload,3,0.09214973449707031
unload,4,0.0917670726776123
unload,5,0.09153580665588379
unload,6,0.09081697463989258
unload,7,0.09196615219116211
unload,8,0.09276342391967773
unload,9,0.09210085868835449
unload,10,0.09296798706054688
unload,11,0.09236431121826172
unload,12,0.09157371520996094
unload,13,0.09172701835632324
unload,14,0.09157252311706543
unload,15,0.09216046333312988
unload,16,0.09174776077270508
unload,17,0.09310483932495117
unload,18,0.09273719787597656
unload,19,0.09094977378845215
inference_1step,0,0.6830928325653076
